AIRLINE,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,DISTANCE
Allegiant Air,GSO,"Greensboro/High Point, NC",BNA,"Nashville, TN",377.0
Allegiant Air,SCE,"State College, PA",PIE,"St. Petersburg, FL",933.0
Frontier Airlines Inc.,PBI,"West Palm Beach/Palm Beach, FL",STL,"St. Louis, MO",1023.0
Allegiant Air,XNA,"Fayetteville, AR",BNA,"Nashville, TN",426.0
Horizon Air,PDX,"Portland, OR",BIL,"Billings, MT",679.0
Allegiant Air,XNA,"Fayetteville, AR",PIE,"St. Petersburg, FL",892.0
Allegiant Air,SFB,"Sanford, FL",RDU,"Raleigh/Durham, NC",510.0
Allegiant Air,FWA,"Fort Wayne, IN",MYR,"Myrtle Beach, SC",610.0
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",EGE,"Eagle, CO",748.0
Allegiant Air,PIE,"St. Petersburg, FL",RDU,"Raleigh/Durham, NC",595.0
Allegiant Air,SGF,"Springfield, MO",PGD,"Punta Gorda, FL",975.0
Endeavor Air Inc.,DTW,"Detroit, MI",BGR,"Bangor, ME",750.0
Allegiant Air,TOL,"Toledo, OH",AZA,"Phoenix, AZ",1625.0
Allegiant Air,AZA,"Phoenix, AZ",MFE,"Mission/McAllen/Edinburg, TX",943.0
SkyWest Airlines Inc.,BOI,"Boise, ID",BUR,"Burbank, CA",656.0
Southwest Airlines Co.,PDX,"Portland, OR",HOU,"Houston, TX",1843.0
Southwest Airlines Co.,BLI,"Bellingham, WA",DEN,"Denver, CO",1075.0
Frontier Airlines Inc.,LAS,"Las Vegas, NV",JAX,"Jacksonville, FL",1965.0
Allegiant Air,BIS,"Bismarck/Mandan, ND",SFB,"Sanford, FL",1628.0
SkyWest Airlines Inc.,BTM,"Butte, MT",DEN,"Denver, CO",578.0
Mesa Airlines Inc.,DFW,"Dallas/Fort Worth, TX",MLB,"Melbourne, FL",1031.0
Allegiant Air,VPS,"Valparaiso, FL",AVL,"Asheville, NC",412.0
Allegiant Air,SRQ,"Sarasota/Bradenton, FL",SDF,"Louisville, KY",765.0
Envoy Air,DFW,"Dallas/Fort Worth, TX",SUX,"Sioux City, IA",657.0
Allegiant Air,PIA,"Peoria, IL",DEN,"Denver, CO",793.0
Republic Airline,PHL,"Philadelphia, PA",HHH,"Hilton Head, SC",609.0
SkyWest Airlines Inc.,DTW,"Detroit, MI",LIT,"Little Rock, AR",705.0
Republic Airline,CMH,"Columbus, OH",RDU,"Raleigh/Durham, NC",362.0
SkyWest Airlines Inc.,SNA,"Santa Ana, CA",ASE,"Aspen, CO",722.0
Allegiant Air,MYR,"Myrtle Beach, SC",FWA,"Fort Wayne, IN",610.0
SkyWest Airlines Inc.,ALB,"Albany, NY",MSP,"Minneapolis, MN",980.0
Allegiant Air,MFE,"Mission/McAllen/Edinburg, TX",BNA,"Nashville, TN",967.0
Delta Air Lines Inc.,SLC,"Salt Lake City, UT",ANC,"Anchorage, AK",2125.0
Southwest Airlines Co.,OAK,"Oakland, CA",BNA,"Nashville, TN",1959.0
Frontier Airlines Inc.,MCO,"Orlando, FL",DSM,"Des Moines, IA",1141.0
Allegiant Air,TYS,"Knoxville, TN",BWI,"Baltimore, MD",465.0
Allegiant Air,VPS,"Valparaiso, FL",LIT,"Little Rock, AR",443.0
Allegiant Air,BNA,"Nashville, TN",EYW,"Key West, FL",849.0
American Airlines Inc.,ORD,"Chicago, IL",SBA,"Santa Barbara, CA",1803.0
Spirit Air Lines,MSY,"New Orleans, LA",CMH,"Columbus, OH",806.0
Alaska Airlines Inc.,OGG,"Kahului, HI",ANC,"Anchorage, AK",2797.0
Allegiant Air,AUS,"Austin, TX",GRR,"Grand Rapids, MI",1103.0
Alaska Airlines Inc.,KOA,"Kona, HI",SMF,"Sacramento, CA",2435.0
Allegiant Air,LCK,"Columbus, OH",ORF,"Norfolk, VA",417.0
Frontier Airlines Inc.,BTV,"Burlington, VT",MCO,"Orlando, FL",1194.0
Allegiant Air,PGD,"Punta Gorda, FL",SWF,"Newburgh/Poughkeepsie, NY",1101.0
Allegiant Air,LAX,"Los Angeles, CA",SHV,"Shreveport, LA",1425.0
Horizon Air,PAE,"Everett, WA",TUS,"Tucson, AZ",1241.0
ExpressJet Airlines LLC d/b/a aha!,IAD,"Washington, DC",SCE,"State College, PA",133.0
Allegiant Air,LIT,"Little Rock, AR",SFB,"Sanford, FL",765.0
Allegiant Air,PGD,"Punta Gorda, FL",MSP,"Minneapolis, MN",1386.0
Frontier Airlines Inc.,MKE,"Milwaukee, WI",RDU,"Raleigh/Durham, NC",689.0
SkyWest Airlines Inc.,GCC,"Gillette, WY",SHR,"Sheridan, WY",77.0
Allegiant Air,PIE,"St. Petersburg, FL",TRI,"Bristol/Johnson City/Kingsport, TN",590.0
Envoy Air,MIA,"Miami, FL",ALB,"Albany, NY",1225.0
Allegiant Air,SFB,"Sanford, FL",LAS,"Las Vegas, NV",2034.0
SkyWest Airlines Inc.,CKB,"Clarksburg/Fairmont, WV",JST,"Johnstown, PA",102.0
Allegiant Air,MLI,"Moline, IL",AZA,"Phoenix, AZ",1288.0
Allegiant Air,XNA,"Fayetteville, AR",AUS,"Austin, TX",462.0
Mesa Airlines Inc.,BDL,"Hartford, CT",IAH,"Houston, TX",1507.0
Southwest Airlines Co.,BWI,"Baltimore, MD",ECP,"Panama City, FL",798.0
Allegiant Air,PDX,"Portland, OR",MRY,"Monterey, CA",622.0
United Air Lines Inc.,EGE,"Eagle, CO",IAD,"Washington, DC",1573.0
Envoy Air,DCA,"Washington, DC",BTR,"Baton Rouge, LA",985.0
JetBlue Airways,BZN,"Bozeman, MT",FLL,"Fort Lauderdale, FL",2183.0
Spirit Air Lines,ACY,"Atlantic City, NJ",BOS,"Boston, MA",274.0
Southwest Airlines Co.,EWR,"Newark, NJ",BWI,"Baltimore, MD",169.0
Allegiant Air,AZA,"Phoenix, AZ",PIT,"Pittsburgh, PA",1799.0
Allegiant Air,LEX,"Lexington, KY",MYR,"Myrtle Beach, SC",438.0
Allegiant Air,PSM,"Portsmouth, NH",BNA,"Nashville, TN",970.0
Frontier Airlines Inc.,MCO,"Orlando, FL",ELP,"El Paso, TX",1516.0
Spirit Air Lines,MYR,"Myrtle Beach, SC",CAK,"Akron, OH",518.0
Southwest Airlines Co.,BUF,"Buffalo, NY",SJU,"San Juan, PR",1845.0
Allegiant Air,EYW,"Key West, FL",CVG,"Cincinnati, OH",1013.0
Republic Airline,TPA,"Tampa, FL",EYW,"Key West, FL",240.0
American Airlines Inc.,DFW,"Dallas/Fort Worth, TX",PWM,"Portland, ME",1622.0
Southwest Airlines Co.,LGB,"Long Beach, CA",BNA,"Nashville, TN",1785.0
Allegiant Air,PIE,"St. Petersburg, FL",ICT,"Wichita, KS",1087.0
Horizon Air,AKN,"King Salmon, AK",DLG,"Dillingham, AK",71.0
Frontier Airlines Inc.,TTN,"Trenton, NJ",MSP,"Minneapolis, MN",989.0
Spirit Air Lines,RIC,"Richmond, VA",CRW,"Charleston/Dunbar, WV",241.0
Allegiant Air,PGD,"Punta Gorda, FL",BWI,"Baltimore, MD",899.0
Southwest Airlines Co.,STL,"St. Louis, MO",IND,"Indianapolis, IN",229.0
Allegiant Air,TRI,"Bristol/Johnson City/Kingsport, TN",PIE,"St. Petersburg, FL",590.0
Frontier Airlines Inc.,DEN,"Denver, CO",GRB,"Green Bay, WI",905.0
Allegiant Air,DAY,"Dayton, OH",PGD,"Punta Gorda, FL",904.0
Delta Air Lines Inc.,RAP,"Rapid City, SD",ATL,"Atlanta, GA",1230.0
Frontier Airlines Inc.,SAT,"San Antonio, TX",ONT,"Ontario, CA",1166.0
Allegiant Air,ORF,"Norfolk, VA",PIE,"St. Petersburg, FL",726.0
Endeavor Air Inc.,MSP,"Minneapolis, MN",HRL,"Harlingen/San Benito, TX",1310.0
Allegiant Air,DEN,"Denver, CO",PVU,"Provo, UT",375.0
Allegiant Air,BNA,"Nashville, TN",PSM,"Portsmouth, NH",970.0
Allegiant Air,XNA,"Fayetteville, AR",HOU,"Houston, TX",461.0
Allegiant Air,SYR,"Syracuse, NY",PGD,"Punta Gorda, FL",1164.0
Allegiant Air,AZA,"Phoenix, AZ",SAN,"San Diego, CA",324.0
Republic Airline,EWR,"Newark, NJ",HHH,"Hilton Head, SC",687.0
Allegiant Air,HTS,"Ashland, WV",MYR,"Myrtle Beach, SC",382.0
PSA Airlines Inc.,DCA,"Washington, DC",EWN,"New Bern/Morehead/Beaufort, NC",261.0
Endeavor Air Inc.,DTW,"Detroit, MI",MHT,"Manchester, NH",610.0
SkyWest Airlines Inc.,MTJ,"Montrose/Delta, CO",LAX,"Los Angeles, CA",666.0
ExpressJet Airlines LLC d/b/a aha!,CAE,"Columbia, SC",IAH,"Houston, TX",878.0
Southwest Airlines Co.,RSW,"Fort Myers, FL",ROC,"Rochester, NY",1166.0
Delta Air Lines Inc.,RNO,"Reno, NV",MSP,"Minneapolis, MN",1405.0
Endeavor Air Inc.,ORF,"Norfolk, VA",MSP,"Minneapolis, MN",1045.0
Allegiant Air,MFE,"Mission/McAllen/Edinburg, TX",AZA,"Phoenix, AZ",943.0
Allegiant Air,VPS,"Valparaiso, FL",CLE,"Cleveland, OH",797.0
Allegiant Air,SAN,"San Diego, CA",PSC,"Pasco/Kennewick/Richland, WA",939.0
Allegiant Air,AZA,"Phoenix, AZ",MEM,"Memphis, TN",1245.0
Allegiant Air,PIT,"Pittsburgh, PA",TYS,"Knoxville, TN",382.0
Frontier Airlines Inc.,RSW,"Fort Myers, FL",LAS,"Las Vegas, NV",2070.0
Alaska Airlines Inc.,RSW,"Fort Myers, FL",LAX,"Los Angeles, CA",2238.0
Spirit Air Lines,CAK,"Akron, OH",TPA,"Tampa, FL",894.0
Southwest Airlines Co.,ROC,"Rochester, NY",RSW,"Fort Myers, FL",1166.0
Horizon Air,MSO,"Missoula, MT",PDX,"Portland, OR",418.0
Allegiant Air,RDM,"Bend/Redmond, OR",AZA,"Phoenix, AZ",911.0
Frontier Airlines Inc.,ORD,"Chicago, IL",TTN,"Trenton, NJ",692.0
Allegiant Air,MSP,"Minneapolis, MN",PGD,"Punta Gorda, FL",1386.0
Allegiant Air,VPS,"Valparaiso, FL",PIA,"Peoria, IL",724.0
Southwest Airlines Co.,IND,"Indianapolis, IN",ECP,"Panama City, FL",646.0
Republic Airline,BOS,"Boston, MA",HHH,"Hilton Head, SC",878.0
Republic Airline,BOS,"Boston, MA",PNS,"Pensacola, FL",1215.0
SkyWest Airlines Inc.,FAR,"Fargo, ND",ATL,"Atlanta, GA",1123.0
SkyWest Airlines Inc.,ORD,"Chicago, IL",GJT,"Grand Junction, CO",1100.0
SkyWest Airlines Inc.,SJC,"San Jose, CA",MCI,"Kansas City, MO",1479.0
Allegiant Air,SRQ,"Sarasota/Bradenton, FL",RIC,"Richmond, VA",760.0
Alaska Airlines Inc.,ADK,"Adak Island, AK",ANC,"Anchorage, AK",1192.0
Allegiant Air,MSY,"New Orleans, LA",SDF,"Louisville, KY",620.0
PSA Airlines Inc.,DCA,"Washington, DC",DAB,"Daytona Beach, FL",705.0
Allegiant Air,DSM,"Des Moines, IA",AUS,"Austin, TX",813.0
Frontier Airlines Inc.,OMA,"Omaha, NE",RSW,"Fort Myers, FL",1299.0
Frontier Airlines Inc.,LAS,"Las Vegas, NV",HRL,"Harlingen/San Benito, TX",1236.0
SkyWest Airlines Inc.,COU,"Columbia, MO",DEN,"Denver, CO",671.0
Allegiant Air,LAS,"Las Vegas, NV",SFB,"Sanford, FL",2034.0
Republic Airline,IAD,"Washington, DC",GRR,"Grand Rapids, MI",501.0
SkyWest Airlines Inc.,MSN,"Madison, WI",SLC,"Salt Lake City, UT",1174.0
American Airlines Inc.,ELP,"El Paso, TX",CLT,"Charlotte, NC",1482.0
Allegiant Air,SDF,"Louisville, KY",MSY,"New Orleans, LA",620.0
SkyWest Airlines Inc.,OMA,"Omaha, NE",PDX,"Portland, OR",1369.0
American Airlines Inc.,MIA,"Miami, FL",JAC,"Jackson, WY",2105.0
Frontier Airlines Inc.,DEN,"Denver, CO",PVD,"Providence, RI",1737.0
Allegiant Air,MSO,"Missoula, MT",LAS,"Las Vegas, NV",750.0
Allegiant Air,BWI,"Baltimore, MD",PGD,"Punta Gorda, FL",899.0
Southwest Airlines Co.,CMH,"Columbus, OH",OAK,"Oakland, CA",2110.0
Spirit Air Lines,STT,"Charlotte Amalie, VI",STX,"Christiansted, VI",45.0
Allegiant Air,GEG,"Spokane, WA",AZA,"Phoenix, AZ",1034.0
Southwest Airlines Co.,SJC,"San Jose, CA",MCO,"Orlando, FL",2421.0
Allegiant Air,AZA,"Phoenix, AZ",SGU,"St. George, UT",278.0
Delta Air Lines Inc.,MSP,"Minneapolis, MN",CHS,"Charleston, SC",1087.0
Allegiant Air,SNA,"Santa Ana, CA",MFR,"Medford, OR",659.0
Delta Air Lines Inc.,SNA,"Santa Ana, CA",DTW,"Detroit, MI",1960.0
Allegiant Air,SAN,"San Diego, CA",SCK,"Stockton, CA",423.0
Allegiant Air,ORF,"Norfolk, VA",CLE,"Cleveland, OH",435.0
American Airlines Inc.,JAC,"Jackson, WY",MIA,"Miami, FL",2105.0
PSA Airlines Inc.,PHL,"Philadelphia, PA",CHA,"Chattanooga, TN",641.0
Spirit Air Lines,ACY,"Atlantic City, NJ",SJU,"San Juan, PR",1536.0
Alaska Airlines Inc.,PDX,"Portland, OR",FLL,"Fort Lauderdale, FL",2694.0
JetBlue Airways,BZN,"Bozeman, MT",LGB,"Long Beach, CA",904.0
Allegiant Air,TYS,"Knoxville, TN",BOS,"Boston, MA",830.0
Allegiant Air,SAV,"Savannah, GA",BLV,"Belleville, IL",658.0
Allegiant Air,OAK,"Oakland, CA",BZN,"Bozeman, MT",796.0
Allegiant Air,SAV,"Savannah, GA",IND,"Indianapolis, IN",596.0
SkyWest Airlines Inc.,DEC,"Decatur, IL",CGI,"Cape Girardeau, MO",184.0
Allegiant Air,USA,"Concord, NC",VPS,"Valparaiso, FL",478.0
JetBlue Airways,LAX,"Los Angeles, CA",PBI,"West Palm Beach/Palm Beach, FL",2330.0
Allegiant Air,FLL,"Fort Lauderdale, FL",FSD,"Sioux Falls, SD",1526.0
Republic Airline,CLT,"Charlotte, NC",ACK,"Nantucket, MA",723.0
SkyWest Airlines Inc.,JAC,"Jackson, WY",SAN,"San Diego, CA",828.0
Horizon Air,PAE,"Everett, WA",LAX,"Los Angeles, CA",984.0
Allegiant Air,SFB,"Sanford, FL",PVU,"Provo, UT",1898.0
JetBlue Airways,EWR,"Newark, NJ",ACK,"Nantucket, MA",218.0
Frontier Airlines Inc.,PBI,"West Palm Beach/Palm Beach, FL",CLE,"Cleveland, OH",1020.0
SkyWest Airlines Inc.,JAC,"Jackson, WY",PHX,"Phoenix, AZ",705.0
SkyWest Airlines Inc.,SLC,"Salt Lake City, UT",COD,"Cody, WY",298.0
SkyWest Airlines Inc.,BRD,"Brainerd, MN",BJI,"Bemidji, MN",85.0
Allegiant Air,CHS,"Charleston, SC",LCK,"Columbus, OH",503.0
Frontier Airlines Inc.,TTN,"Trenton, NJ",CHS,"Charleston, SC",586.0
Republic Airline,GSP,"Greer, SC",BOS,"Boston, MA",795.0
Frontier Airlines Inc.,MCO,"Orlando, FL",LIT,"Little Rock, AR",776.0
Horizon Air,PDX,"Portland, OR",PAE,"Everett, WA",161.0
Envoy Air,MIA,"Miami, FL",AVL,"Asheville, NC",677.0
SkyWest Airlines Inc.,JLN,"Joplin, MO",DEC,"Decatur, IL",357.0
Frontier Airlines Inc.,ORF,"Norfolk, VA",LAS,"Las Vegas, NV",2154.0
Southwest Airlines Co.,BNA,"Nashville, TN",SJU,"San Juan, PR",1753.0
Allegiant Air,PDX,"Portland, OR",ATW,"Appleton, WI",1662.0
ExpressJet Airlines LLC d/b/a aha!,EWR,"Newark, NJ",DAY,"Dayton, OH",533.0
Frontier Airlines Inc.,COS,"Colorado Springs, CO",SAT,"San Antonio, TX",732.0
Allegiant Air,MSY,"New Orleans, LA",PIT,"Pittsburgh, PA",918.0
Envoy Air,MIA,"Miami, FL",HPN,"White Plains, NY",1118.0
Allegiant Air,MEM,"Memphis, TN",PGD,"Punta Gorda, FL",733.0
PSA Airlines Inc.,CLT,"Charlotte, NC",FLO,"Florence, SC",99.0
Spirit Air Lines,BOS,"Boston, MA",ACY,"Atlantic City, NJ",274.0
Allegiant Air,OGS,"Ogdensburg, NY",SFB,"Sanford, FL",1142.0
Allegiant Air,AZA,"Phoenix, AZ",SMX,"Santa Maria, CA",516.0
JetBlue Airways,HPN,"White Plains, NY",CHS,"Charleston, SC",663.0
Southwest Airlines Co.,SAT,"San Antonio, TX",OAK,"Oakland, CA",1476.0
SkyWest Airlines Inc.,DRO,"Durango, CO",SLC,"Salt Lake City, UT",339.0
Allegiant Air,MKE,"Milwaukee, WI",PGD,"Punta Gorda, FL",1154.0
SkyWest Airlines Inc.,BJI,"Bemidji, MN",BRD,"Brainerd, MN",85.0
Southwest Airlines Co.,ORF,"Norfolk, VA",DAL,"Dallas, TX",1203.0
Frontier Airlines Inc.,RSW,"Fort Myers, FL",PHX,"Phoenix, AZ",1868.0
Allegiant Air,GRR,"Grand Rapids, MI",SAV,"Savannah, GA",778.0
Envoy Air,CID,"Cedar Rapids/Iowa City, IA",CMH,"Columbus, OH",479.0
SkyWest Airlines Inc.,INL,"International Falls, MN",HIB,"Hibbing, MN",86.0
Frontier Airlines Inc.,JAX,"Jacksonville, FL",LAS,"Las Vegas, NV",1965.0
Allegiant Air,PSM,"Portsmouth, NH",SAV,"Savannah, GA",944.0
Allegiant Air,IND,"Indianapolis, IN",MSY,"New Orleans, LA",707.0
Allegiant Air,LIT,"Little Rock, AR",PIE,"St. Petersburg, FL",734.0
Allegiant Air,AZA,"Phoenix, AZ",BLV,"Belleville, IL",1272.0
SkyWest Airlines Inc.,RKS,"Rock Springs, WY",RIW,"Riverton/Lander, WY",106.0
Southwest Airlines Co.,BZN,"Bozeman, MT",PHX,"Phoenix, AZ",853.0
Allegiant Air,PIE,"St. Petersburg, FL",CAK,"Akron, OH",899.0
Allegiant Air,PHX,"Phoenix, AZ",AVL,"Asheville, NC",1683.0
Allegiant Air,SFB,"Sanford, FL",GSP,"Greer, SC",425.0
JetBlue Airways,RIC,"Richmond, VA",TPA,"Tampa, FL",723.0
Delta Air Lines Inc.,ATL,"Atlanta, GA",TVC,"Traverse City, MI",769.0
SkyWest Airlines Inc.,BFF,"Scottsbluff, NE",LBF,"North Platte, NE",160.0
Alaska Airlines Inc.,BWI,"Baltimore, MD",PDX,"Portland, OR",2358.0
Allegiant Air,CAK,"Akron, OH",BNA,"Nashville, TN",435.0
Allegiant Air,BLV,"Belleville, IL",AZA,"Phoenix, AZ",1272.0
ExpressJet Airlines LLC d/b/a aha!,SBN,"South Bend, IN",EWR,"Newark, NJ",637.0
Allegiant Air,MKE,"Milwaukee, WI",SFB,"Sanford, FL",1045.0
Allegiant Air,ICT,"Wichita, KS",SFB,"Sanford, FL",1117.0
Allegiant Air,MCI,"Kansas City, MO",AZA,"Phoenix, AZ",1030.0
Allegiant Air,AUS,"Austin, TX",AVL,"Asheville, NC",950.0
Allegiant Air,SCK,"Stockton, CA",SAN,"San Diego, CA",423.0
Allegiant Air,MCI,"Kansas City, MO",PIE,"St. Petersburg, FL",1045.0
Allegiant Air,RDU,"Raleigh/Durham, NC",PIE,"St. Petersburg, FL",595.0
Allegiant Air,CLE,"Cleveland, OH",VPS,"Valparaiso, FL",797.0
Allegiant Air,MKE,"Milwaukee, WI",PIE,"St. Petersburg, FL",1077.0
Frontier Airlines Inc.,PVD,"Providence, RI",MYR,"Myrtle Beach, SC",690.0
Delta Air Lines Inc.,PVD,"Providence, RI",MSP,"Minneapolis, MN",1117.0
SkyWest Airlines Inc.,SCE,"State College, PA",IAD,"Washington, DC",133.0
Allegiant Air,PGD,"Punta Gorda, FL",SGF,"Springfield, MO",975.0
Allegiant Air,CKB,"Clarksburg/Fairmont, WV",VPS,"Valparaiso, FL",705.0
Allegiant Air,JAX,"Jacksonville, FL",IND,"Indianapolis, IN",687.0
Southwest Airlines Co.,SJU,"San Juan, PR",BNA,"Nashville, TN",1753.0
JetBlue Airways,SFO,"San Francisco, CA",BDL,"Hartford, CT",2625.0
Allegiant Air,CVG,"Cincinnati, OH",ORF,"Norfolk, VA",485.0
Allegiant Air,EWR,"Newark, NJ",DSM,"Des Moines, IA",1017.0
Spirit Air Lines,ACY,"Atlantic City, NJ",MIA,"Miami, FL",998.0
Allegiant Air,AUS,"Austin, TX",OMA,"Omaha, NE",772.0
Allegiant Air,SFB,"Sanford, FL",EVV,"Evansville, IN",734.0
Allegiant Air,VPS,"Valparaiso, FL",TUL,"Tulsa, OK",669.0
Allegiant Air,SRQ,"Sarasota/Bradenton, FL",PIA,"Peoria, IL",1001.0
American Airlines Inc.,SNA,"Santa Ana, CA",CLT,"Charlotte, NC",2099.0
Republic Airline,MCO,"Orlando, FL",DAY,"Dayton, OH",808.0
Allegiant Air,EVV,"Evansville, IN",VPS,"Valparaiso, FL",524.0
ExpressJet Airlines LLC d/b/a aha!,IAH,"Houston, TX",CRW,"Charleston/Dunbar, WV",975.0
American Airlines Inc.,BZN,"Bozeman, MT",CLT,"Charlotte, NC",1736.0
Frontier Airlines Inc.,DEN,"Denver, CO",BFM,"Mobile, AL",1132.0
Republic Airline,BRO,"Brownsville, TX",ORD,"Chicago, IL",1233.0
Frontier Airlines Inc.,PHX,"Phoenix, AZ",ORF,"Norfolk, VA",2029.0
JetBlue Airways,BOS,"Boston, MA",HDN,"Hayden, CO",1871.0
Frontier Airlines Inc.,JAX,"Jacksonville, FL",TTN,"Trenton, NJ",777.0
Southwest Airlines Co.,DAL,"Dallas, TX",HDN,"Hayden, CO",779.0
SkyWest Airlines Inc.,HDN,"Hayden, CO",SFO,"San Francisco, CA",838.0
Allegiant Air,SFB,"Sanford, FL",DAY,"Dayton, OH",785.0
Delta Air Lines Inc.,ATL,"Atlanta, GA",BGR,"Bangor, ME",1134.0
Delta Air Lines Inc.,MSP,"Minneapolis, MN",SAV,"Savannah, GA",1092.0
Allegiant Air,MSO,"Missoula, MT",SNA,"Santa Ana, CA",935.0
Delta Air Lines Inc.,MSP,"Minneapolis, MN",RNO,"Reno, NV",1405.0
Southwest Airlines Co.,HOU,"Houston, TX",RNO,"Reno, NV",1546.0
Frontier Airlines Inc.,DEN,"Denver, CO",MDT,"Harrisburg, PA",1474.0
Allegiant Air,PSC,"Pasco/Kennewick/Richland, WA",SAN,"San Diego, CA",939.0
American Airlines Inc.,MSY,"New Orleans, LA",GSP,"Greer, SC",578.0
Allegiant Air,AZA,"Phoenix, AZ",MSP,"Minneapolis, MN",1267.0
Republic Airline,IND,"Indianapolis, IN",MEM,"Memphis, TN",381.0
Southwest Airlines Co.,ELP,"El Paso, TX",SJC,"San Jose, CA",964.0
Allegiant Air,SAN,"San Diego, CA",IDA,"Idaho Falls, ID",794.0
Frontier Airlines Inc.,PBI,"West Palm Beach/Palm Beach, FL",RDU,"Raleigh/Durham, NC",638.0
Allegiant Air,SNA,"Santa Ana, CA",GJT,"Grand Junction, CO",641.0
Frontier Airlines Inc.,HRL,"Harlingen/San Benito, TX",MCO,"Orlando, FL",1016.0
Frontier Airlines Inc.,MCO,"Orlando, FL",GSP,"Greer, SC",449.0
Frontier Airlines Inc.,SYR,"Syracuse, NY",MIA,"Miami, FL",1217.0
Allegiant Air,VPS,"Valparaiso, FL",PIT,"Pittsburgh, PA",775.0
Frontier Airlines Inc.,HRL,"Harlingen/San Benito, TX",ORD,"Chicago, IL",1219.0
Allegiant Air,BIL,"Billings, MT",LAX,"Los Angeles, CA",970.0
Delta Air Lines Inc.,HNL,"Honolulu, HI",DTW,"Detroit, MI",4475.0
Frontier Airlines Inc.,TTN,"Trenton, NJ",SRQ,"Sarasota/Bradenton, FL",992.0
Alaska Airlines Inc.,ADK,"Adak Island, AK",CDB,"Cold Bay, AK",616.0
Allegiant Air,PVU,"Provo, UT",SAN,"San Diego, CA",599.0
Allegiant Air,SAN,"San Diego, CA",FSD,"Sioux Falls, SD",1336.0
United Air Lines Inc.,FAI,"Fairbanks, AK",SFO,"San Francisco, CA",2148.0
Republic Airline,ITH,"Ithaca/Cortland, NY",EWR,"Newark, NJ",172.0
PSA Airlines Inc.,PHL,"Philadelphia, PA",ART,"Watertown, NY",287.0
Frontier Airlines Inc.,MCO,"Orlando, FL",TUL,"Tulsa, OK",1005.0
Southwest Airlines Co.,HOU,"Houston, TX",LIT,"Little Rock, AR",393.0
Allegiant Air,TUL,"Tulsa, OK",SRQ,"Sarasota/Bradenton, FL",990.0
Republic Airline,SBN,"South Bend, IN",LGA,"New York, NY",651.0
Allegiant Air,VPS,"Valparaiso, FL",BOS,"Boston, MA",1187.0
Allegiant Air,SAN,"San Diego, CA",PVU,"Provo, UT",599.0
SkyWest Airlines Inc.,DRO,"Durango, CO",LAX,"Los Angeles, CA",639.0
Allegiant Air,PVD,"Providence, RI",SAV,"Savannah, GA",854.0
Frontier Airlines Inc.,ORD,"Chicago, IL",BFM,"Mobile, AL",782.0
Envoy Air,AGS,"Augusta, GA",AUS,"Austin, TX",949.0
Delta Air Lines Inc.,ATL,"Atlanta, GA",MSO,"Missoula, MT",1800.0
Southwest Airlines Co.,SAN,"San Diego, CA",ORF,"Norfolk, VA",2330.0
Republic Airline,LGA,"New York, NY",DAB,"Daytona Beach, FL",897.0
Allegiant Air,PIE,"St. Petersburg, FL",CKB,"Clarksburg/Fairmont, WV",798.0
PSA Airlines Inc.,CID,"Cedar Rapids/Iowa City, IA",DCA,"Washington, DC",801.0
SkyWest Airlines Inc.,DEC,"Decatur, IL",SPI,"Springfield, IL",43.0
Southwest Airlines Co.,ABQ,"Albuquerque, NM",SAT,"San Antonio, TX",609.0
SkyWest Airlines Inc.,IAH,"Houston, TX",LEX,"Lexington, KY",828.0
Frontier Airlines Inc.,GRB,"Green Bay, WI",TPA,"Tampa, FL",1180.0
Southwest Airlines Co.,PSP,"Palm Springs, CA",DAL,"Dallas, TX",1137.0
Allegiant Air,OAK,"Oakland, CA",IDA,"Idaho Falls, ID",666.0
Southwest Airlines Co.,SNA,"Santa Ana, CA",MCI,"Kansas City, MO",1342.0
Republic Airline,ORD,"Chicago, IL",MVY,"Martha's Vineyard, MA",894.0
Southwest Airlines Co.,TPA,"Tampa, FL",OMA,"Omaha, NE",1190.0
Frontier Airlines Inc.,TTN,"Trenton, NJ",BNA,"Nashville, TN",706.0
Southwest Airlines Co.,MSY,"New Orleans, LA",SMF,"Sacramento, CA",1878.0
Allegiant Air,AZA,"Phoenix, AZ",SPI,"Springfield, IL",1299.0
Frontier Airlines Inc.,RSW,"Fort Myers, FL",SLC,"Salt Lake City, UT",1985.0
Allegiant Air,TYS,"Knoxville, TN",SRQ,"Sarasota/Bradenton, FL",586.0
Allegiant Air,SAV,"Savannah, GA",FNT,"Flint, MI",760.0
Horizon Air,LAX,"Los Angeles, CA",PAE,"Everett, WA",984.0
Allegiant Air,SGU,"St. George, UT",AZA,"Phoenix, AZ",278.0
Allegiant Air,VPS,"Valparaiso, FL",SHV,"Shreveport, LA",452.0
Republic Airline,ACK,"Nantucket, MA",CLT,"Charlotte, NC",723.0
Horizon Air,SAN,"San Diego, CA",FCA,"Kalispell, MT",1086.0
American Airlines Inc.,JAC,"Jackson, WY",LGA,"New York, NY",1887.0
Frontier Airlines Inc.,SRQ,"Sarasota/Bradenton, FL",TTN,"Trenton, NJ",992.0
Frontier Airlines Inc.,LFT,"Lafayette, LA",DEN,"Denver, CO",978.0
JetBlue Airways,LGB,"Long Beach, CA",BZN,"Bozeman, MT",904.0
