AIRLINE,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,DISTANCE
American Airlines Inc.,IND,"Indianapolis, IN",DFW,"Dallas/Fort Worth, TX",761.0
Southwest Airlines Co.,LAS,"Las Vegas, NV",HOU,"Houston, TX",1235.0
SkyWest Airlines Inc.,BIS,"Bismarck/Mandan, ND",DEN,"Denver, CO",516.0
Delta Air Lines Inc.,RDU,"Raleigh/Durham, NC",ATL,"Atlanta, GA",356.0
Delta Air Lines Inc.,MSP,"Minneapolis, MN",MEM,"Memphis, TN",700.0
SkyWest Airlines Inc.,SHR,"Sheridan, WY",DEN,"Denver, CO",359.0
Southwest Airlines Co.,BOI,"Boise, ID",SNA,"Santa Ana, CA",688.0
SkyWest Airlines Inc.,IAH,"Houston, TX",TUS,"Tucson, AZ",936.0
Southwest Airlines Co.,BDL,"Hartford, CT",BWI,"Baltimore, MD",283.0
Southwest Airlines Co.,RNO,"Reno, NV",LGB,"Long Beach, CA",402.0
SkyWest Airlines Inc.,HPN,"White Plains, NY",ORD,"Chicago, IL",738.0
SkyWest Airlines Inc.,ORD,"Chicago, IL",SAV,"Savannah, GA",773.0
SkyWest Airlines Inc.,PHX,"Phoenix, AZ",MFR,"Medford, OR",854.0
Delta Air Lines Inc.,MCO,"Orlando, FL",JFK,"New York, NY",944.0
American Airlines Inc.,ORD,"Chicago, IL",SFO,"San Francisco, CA",1846.0
Southwest Airlines Co.,BNA,"Nashville, TN",DAL,"Dallas, TX",623.0
Frontier Airlines Inc.,DEN,"Denver, CO",MCO,"Orlando, FL",1546.0
SkyWest Airlines Inc.,MSP,"Minneapolis, MN",GFK,"Grand Forks, ND",284.0
Southwest Airlines Co.,MCI,"Kansas City, MO",ATL,"Atlanta, GA",692.0
JetBlue Airways,MIA,"Miami, FL",JFK,"New York, NY",1089.0
Southwest Airlines Co.,BHM,"Birmingham, AL",MDW,"Chicago, IL",570.0
SkyWest Airlines Inc.,HRL,"Harlingen/San Benito, TX",DFW,"Dallas/Fort Worth, TX",461.0
Alaska Airlines Inc.,SEA,"Seattle, WA",KOA,"Kona, HI",2688.0
SkyWest Airlines Inc.,SBP,"San Luis Obispo, CA",SFO,"San Francisco, CA",190.0
Alaska Airlines Inc.,SEA,"Seattle, WA",SMF,"Sacramento, CA",605.0
Southwest Airlines Co.,BWI,"Baltimore, MD",CVG,"Cincinnati, OH",430.0
Southwest Airlines Co.,LGA,"New York, NY",BNA,"Nashville, TN",764.0
Southwest Airlines Co.,ELP,"El Paso, TX",LAS,"Las Vegas, NV",583.0
SkyWest Airlines Inc.,DFW,"Dallas/Fort Worth, TX",DEN,"Denver, CO",641.0
American Airlines Inc.,LAX,"Los Angeles, CA",LIH,"Lihue, HI",2615.0
Spirit Air Lines,TPA,"Tampa, FL",BWI,"Baltimore, MD",842.0
SkyWest Airlines Inc.,SMF,"Sacramento, CA",SFO,"San Francisco, CA",86.0
SkyWest Airlines Inc.,DEN,"Denver, CO",SGU,"St. George, UT",517.0
Southwest Airlines Co.,LAS,"Las Vegas, NV",DAL,"Dallas, TX",1067.0
Southwest Airlines Co.,GSP,"Greer, SC",BWI,"Baltimore, MD",426.0
United Air Lines Inc.,DEN,"Denver, CO",IAD,"Washington, DC",1452.0
Endeavor Air Inc.,BDL,"Hartford, CT",RDU,"Raleigh/Durham, NC",532.0
PSA Airlines Inc.,MLB,"Melbourne, FL",CLT,"Charlotte, NC",490.0
Southwest Airlines Co.,PHX,"Phoenix, AZ",MDW,"Chicago, IL",1444.0
Delta Air Lines Inc.,ATL,"Atlanta, GA",TLH,"Tallahassee, FL",223.0
